0.49,0.73,7,12,0.29,0.4,0.3,0.24,0.23,0.39,0.7,0.9,0.49,0.65,0.75,0.06,0.18,0.35, 0.7692307692307692
0.1,0.49,12,4,0.76,0.52,0.16,0.92,0.22,0.38,0.33,0.86,0.98,0.35,0.73,0.26,0.58,0.28, 0.8342803030303031
0.79,0.11,11,5,0.01,0.42,0.46,0.04,0.62,0.7,0.19,0.3,0.24,0.62,0.08,0.14,0.6,0.43, 0.7835775335775336
0.69,0.36,10,3,0.68,0.77,0.27,0.48,0.88,0.2,0.08,0.82,0.75,0.74,0.69,0.56,0.41,0.21, 0.9074415744157441
0.31,0.35,1,5,0.35,0.29,0.81,0.76,0.86,0.98,0.04,0.31,0.33,0.1,0.5,0.29,0.16,0.27, 0.6602564102564102
0.7,0.69,3,9,0.92,0.37,0.63,0.44,0.45,0.41,0.0,0.91,0.79,0.51,0.27,0.97,0.84,0.8, 0.8834890965732088
0.74,0.04,6,7,0.81,0.56,0.33,0.33,0.21,0.04,0.72,0.65,0.83,0.91,0.26,0.32,0.88,0.96, 0.990449784349969
0.23,0.96,8,10,0.1,0.45,0.24,0.93,0.92,0.72,0.33,0.51,0.86,0.68,0.02,0.55,0.29,0.04, 0.9145454545454546
0.4,0.62,13,2,0.02,0.93,0.78,0.08,0.46,0.91,0.97,0.38,0.68,0.51,0.82,0.66,0.2,0.99, 0.7258163894023414
0.75,0.09,0,14,0.53,0.84,0.9,0.43,0.01,0.58,0.81,0.66,0.48,0.1,0.53,0.02,0.93,0.86, 1.0479282622139765
0.71,0.99,3,8,0.23,0.79,0.14,0.16,0.76,0.79,0.45,0.6,0.71,0.49,0.16,0.07,0.22,0.73, 0.8363858363858364
0.05,0.84,2,13,0.14,0.75,0.47,0.55,0.63,0.29,0.19,0.24,0.23,0.23,0.86,0.34,0.8,0.59, 0.8891958256599142
