0.49,0.16,7,12,0.29,0.4,0.3,0.24,0.23,0.39,0.7,0.9,0.49,0.65,0.75,0.06,0.18,0.35, 0.867505995203837
0.49,0.73,7,12,0.29,0.4,0.3,0.24,0.54,0.39,0.7,0.9,0.49,0.65,0.75,0.06,0.18,0.35, 0.7745098039215687
0.79,0.11,11,5,0.01,0.42,0.46,0.04,0.29,0.7,0.19,0.3,0.24,0.62,0.75,0.14,0.6,0.43, 0.705794504181601
0.49,0.73,7,12,0.29,0.4,0.3,0.24,0.41,0.39,0.7,0.9,0.49,0.65,0.08,0.06,0.18,0.35, 0.8497267759562841
0.49,0.35,1,5,0.35,0.4,0.3,0.24,0.86,0.6,0.04,0.31,0.33,0.1,0.75,0.29,0.16,0.27, 0.7918968692449355
0.31,0.73,7,12,0.29,0.29,0.81,0.76,0.23,0.98,0.7,0.9,0.49,0.65,0.5,0.06,0.18,0.3, 0.784966112138016
0.74,0.04,6,12,0.81,0.4,0.56,0.33,0.21,0.39,0.72,0.65,0.83,0.65,0.26,0.32,0.88,0.96, 0.9759704251386321
0.49,0.73,7,7,0.29,0.56,0.3,0.24,0.23,0.04,0.86,0.9,0.49,0.91,0.75,0.06,0.18,0.35, 0.7477477477477478
0.49,0.62,13,12,0.02,0.93,0.3,0.24,0.46,0.91,0.97,0.38,0.68,0.51,0.82,0.66,0.06,0.99, 0.8027777777777777
0.4,0.73,7,2,0.29,0.4,0.78,0.08,0.23,0.39,0.7,0.73,0.49,0.65,0.75,0.06,0.18,0.35, 0.8684210526315791
0.71,0.99,3,8,0.23,0.79,0.14,0.16,0.76,0.79,0.7,0.6,0.71,0.49,0.75,0.07,0.22,0.73, 0.8040458937198068
0.49,0.73,7,12,0.83,0.4,0.3,0.24,0.23,0.39,0.45,0.9,0.49,0.65,0.16,0.06,0.18,0.35, 0.8779212792127922
