0.49,0.16,7,12,0.29,0.4,0.3,0.24,0.23,0.39,0.7,0.9,0.49,0.65,0.75,0.06,0.18,0.47, 0.7886629698089958
0.49,0.16,7,12,0.29,0.4,0.3,0.24,0.23,0.39,0.7,0.9,0.49,0.65,0.75,0.06,0.3,0.35, 0.8629969418960245
0.49,0.11,11,5,0.01,0.42,0.3,0.04,0.29,0.7,0.19,0.9,0.49,0.63,0.75,0.14,0.6,0.43, 0.6787484510532837
0.49,0.16,7,12,0.29,0.4,0.46,0.24,0.23,0.39,0.7,0.9,0.57,0.65,0.75,0.06,0.18,0.35, 0.8603603603603603
0.49,0.35,7,5,0.35,0.4,0.3,0.24,0.23,0.6,0.04,0.49,0.49,0.1,0.75,0.29,0.16,0.27, 0.7885435709932967
0.49,0.16,1,12,0.29,0.4,0.3,0.24,0.23,0.39,0.7,0.9,0.33,0.65,0.75,0.06,0.18,0.35, 0.8543956043956044
0.74,0.04,7,12,0.81,0.4,0.56,0.24,0.23,0.39,0.7,0.9,0.83,0.65,0.26,0.32,0.18,0.76, 0.9456721915285451
0.49,0.16,6,12,0.29,0.4,0.36,0.33,0.21,0.39,0.7,0.65,0.49,0.65,0.75,0.06,0.18,0.35, 0.9134860050890584
0.49,0.62,13,12,0.02,0.38,0.3,0.24,0.46,0.91,0.7,0.38,0.68,0.65,0.75,0.06,0.18,0.99, 0.7322954822954824
0.49,0.16,7,12,0.29,0.33,0.3,0.24,0.23,0.39,0.59,0.9,0.49,0.51,0.75,0.06,0.18,0.35, 0.8716759431045146
0.71,0.99,3,8,0.29,0.79,0.3,0.16,0.76,0.79,0.93,0.6,0.71,0.49,0.75,0.07,0.18,0.73, 0.8445454545454546
0.49,0.16,7,12,0.4,0.4,0.14,0.24,0.23,0.39,0.7,0.9,0.49,0.65,0.75,0.06,0.18,0.35, 0.7082579867389994
