0.7,0.7,2,1,0.9,0.15,0.3,0.85,0.75,0.85,0.8,0.5,0.3,0.7,0.22,0.85,0.75,0.8,0.85,0.4,0.15,0.55,0.75, 0.6953675730110774
0.7,0.85,2,1,0.9,0.15,0.3,0.85,0.75,0.85,1.0,0.5,0.3,0.35,0.22,0.85,0.75,0.8,0.85,0.4,0.15,0.55,0.75, 0.6726190476190476
0.7,0.7,2,1,0.9,0.15,0.3,0.85,0.75,0.85,0.8,0.5,0.3,0.7,0.22,0.85,0.75,0.8,0.85,0.4,0.15,0.55,0.75, 0.7231359649122808
0.7,0.85,2,1,0.9,0.15,0.3,0.85,0.75,0.85,1.0,0.5,0.3,0.35,0.22,0.85,0.75,0.8,0.85,0.4,0.15,0.55,0.75, 0.6610925306577481
0.6,0.9,1,1,0.9,0.4,0.15,0.5,0.15,0.05,0.1,1.0,0.3,0.7,0.85,1.0,0.75,0.05,0.7,0.05,0.2,0.4,0.25, 0.6069892473118279
0.7,0.85,5,1,0.35,0.15,0.3,0.85,0.75,0.85,1.0,0.5,0.9,0.35,0.22,0.85,0.75,0.8,0.85,0.4,0.15,0.55,0.75, 0.662192393736018
0.7,0.7,10,1,0.9,0.15,0.3,0.85,0.75,0.85,0.8,0.5,0.3,0.7,0.22,0.85,0.75,0.8,0.85,0.4,0.15,0.55,0.75, 0.7488738738738739
0.7,0.7,2,1,0.9,0.15,0.3,0.25,0.75,0.85,0.8,0.5,0.15,0.7,0.8,0.89,0.75,0.8,0.85,0.4,0.15,0.55,0.75, 0.8006872852233676
0.7,0.62,3,1,0.9,0.15,0.3,0.85,0.75,0.85,1.0,0.5,0.3,0.35,0.22,0.85,0.75,0.8,0.85,0.4,0.15,0.55,0.75, 0.775058275058275
0.7,0.85,2,1,0.9,0.15,0.3,0.85,0.75,0.85,0.07,0.5,0.3,0.35,0.22,0.85,0.75,0.8,0.85,0.4,0.15,0.55,0.75, 0.7627314814814815
0.7,0.7,2,1,0.9,0.15,0.3,0.85,0.75,0.85,0.8,0.5,0.3,0.55,0.22,0.85,0.75,0.23,0.85,0.4,0.15,0.55,0.75, 0.7656599552572708
0.7,0.7,2,1,0.9,0.15,0.3,0.85,0.75,0.85,0.8,0.5,0.3,0.73,0.22,0.85,0.75,0.8,0.85,0.4,0.15,0.55,0.75, 0.6604938271604938
